GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
8568	1.19e-21	1.24e-24	0.0582	10.2453681	0.5962553	1008.89	RRP1	ribosomal RNA processing 1
7109	1.42e-20	1.55e-23	0.0494	9.9981928	0.4936289	3780.63	TRAPPC10	trafficking protein particle complex subunit 10
102724594	4.16e-20	4.78e-23	0.0681	9.886138	0.6733853	2048.46	LOC102724594	U2 small nuclear RNA auxiliary factor 1 like 5
8209	5.33e-20	6.40e-23	0.0573	9.8569551	0.564515	1561.56	GATD3	glutamine amidotransferase class 1 domain containing 3
8208	2.36e-19	2.95e-22	0.0752	9.7020891	0.7299471	146.78	CHAF1B	chromatin assembly factor 1 subunit B
7327	3.71e-19	4.84e-22	0.0518	9.6516166	0.4999972	4335.75	UBE2G2	ubiquitin conjugating enzyme E2 G2
728577	1.84e-18	2.50e-21	0.2274	-9.4816864	-2.1560859	40.62	CNTNAP3B	contactin associated protein family member 3B
5211	2.16e-18	3.05e-21	0.0681	9.4609594	0.6442016	6895.62	PFKL	phosphofructokinase, liver type
643827	4.52e-18	6.85e-21	0.2478	-9.3760453	-2.322993	60.44	CNTNAP3P2	CNTNAP3 pseudogene 2
54059	4.52e-18	6.63e-21	0.0856	9.3794346	0.8027986	842.69	YBEY	ybeY metalloendoribonuclease
7307	1.92e-17	3.00e-20	0.0711	9.2188371	0.6554604	1922.35	U2AF1	U2 small nuclear RNA auxiliary factor 1
1859	2.59e-17	4.20e-20	0.0559	9.1829205	0.5132624	4423.31	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A
64843	3.44e-17	5.74e-20	0.1627	-9.1490686	-1.4881425	195.59	ISL2	ISL LIM homeobox 2
29980	5.85e-17	1.01e-19	0.0689	9.0880131	0.6258716	316.95	DONSON	DNA replication fork stabilization factor DONSON
8578	3.64e-16	6.45e-19	0.1779	8.8839156	1.580828	3350.82	SCARF1	scavenger receptor class F member 1
2051	3.73e-16	6.81e-19	0.0851	-8.8778907	-0.7554614	1064.24	EPHB6	EPH receptor B6
51207	4.73e-16	9.14e-19	0.2347	8.8451119	2.0756623	78.08	DUSP13	dual specificity phosphatase 13
7485	4.73e-16	8.96e-19	0.0955	8.8473524	0.8450518	465.26	GET1	guided entry of tail-anchored proteins factor 1
54093	5.83e-16	1.16e-18	0.0534	8.818731	0.4711473	740.45	SETD4	SET domain containing 4
10950	6.12e-16	1.25e-18	0.1031	8.8104561	0.9086332	125.8	BTG3	BTG anti-proliferation factor 3
10694	7.44e-16	1.59e-18	0.0713	8.7829867	0.6260059	4453.67	CCT8	chaperonin containing TCP1 subunit 8
402415	7.44e-16	1.56e-18	0.2187	-8.7851243	-1.921414	61.62	XKRX	XK related X-linked
8624	8.01e-16	1.76e-18	0.0945	8.7719386	0.8292403	335.51	PSMG1	proteasome assembly chaperone 1
8566	1.37e-15	3.07e-18	0.0823	8.7086732	0.7163918	4897.09	PDXK	pyridoxal kinase
285973	1.43e-15	3.28e-18	0.1218	-8.7014392	-1.0597486	224.68	ATG9B	autophagy related 9B
54149	1.72e-15	4.09e-18	0.0865	8.6761695	0.7507529	2011.85	C21orf91	chromosome 21 open reading frame 91
8888	1.72e-15	4.13e-18	0.0543	8.6751516	0.4707644	4228.9	MCM3AP	minichromosome maintenance complex component 3 associated protein
3275	2.34e-15	5.74e-18	0.0734	8.6376648	0.6336668	10934.81	PRMT2	protein arginine methyltransferase 2
1031	3.41e-15	8.56e-18	0.0843	8.5918831	0.7240589	207.53	CDKN2C	cyclin dependent kinase inhibitor 2C
54020	5.80e-15	1.48e-17	0.0592	8.52838	0.5046653	1066.91	SLC37A1	solute carrier family 37 member 1
6651	5.96e-15	1.56e-17	0.0635	8.5229513	0.5408025	11852.02	SON	SON DNA and RNA binding protein
346653	6.66e-15	1.77e-17	0.1258	-8.5077559	-1.0700331	114.85	GARIN1A	golgi associated RAB2 interactor 1A
1476	7.03e-15	1.91e-17	0.1149	8.4992921	0.9769392	4383.8	CSTB	cystatin B
9351	1.01e-14	2.80e-17	0.0939	8.4544185	0.7935087	207.02	NHERF2	NHERF family PDZ scaffold protein 2
10069	1.33e-14	3.76e-17	0.0839	8.4201067	0.7065679	302.55	RWDD2B	RWD domain containing 2B
106865373	1.90e-14	5.45e-17	0.0955	8.3765569	0.7995858	172.68	GET1-SH3BGR	GET1-SH3BGR readthrough
1951	2.62e-14	7.80e-17	0.155	-8.3342995	-1.2915709	183.7	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3
54058	2.62e-14	7.78e-17	0.0821	8.3345366	0.6844477	318.45	C21orf58	chromosome 21 open reading frame 58
754	2.69e-14	8.13e-17	0.0908	8.3293173	0.7564652	10690.18	PTTG1IP	PTTG1 interacting protein
101929185	3.22e-14	9.92e-17	0.0758	-8.3057029	-0.629402	808.11	LOC101929185	uncharacterized LOC101929185
112268278	3.53e-14	1.10e-16	0.1334	8.2929791	1.106105	176.33	LOC112268278	
4222	3.68e-14	1.17e-16	0.173	8.2859104	1.4331429	152.71	MEOX1	mesenchyme homeobox 1
3150	4.37e-14	1.41e-16	0.0743	8.2635538	0.6142036	6638.61	HMGN1	high mobility group nucleosome binding domain 1
107986085	4.98e-14	1.64e-16	0.0985	-8.245972	-0.812135	111.97	LINC02019	long intergenic non-protein coding RNA 2019
284837	5.00e-14	1.67e-16	0.1166	8.2437048	0.9615306	1371.63	AATBC	apoptosis associated transcript in bladder cancer
1285	5.66e-14	1.92e-16	0.2155	-8.2268892	-1.7732482	89.11	COL4A3	collagen type IV alpha 3 chain
84536	7.31e-14	2.52e-16	0.1132	8.1944128	0.9280167	486.41	LINC01547	long intergenic non-protein coding RNA 1547
5116	1.28e-13	4.49e-16	0.0729	8.1245742	0.5926341	1784.17	PCNT	pericentrin
268	3.82e-13	1.36e-15	0.2362	7.9894773	1.8868456	40.79	AMH	anti-Mullerian hormone
23474	4.81e-13	1.73e-15	0.0716	7.9591719	0.5699549	866.09	ETHE1	ETHE1 persulfide dioxygenase
64092	5.76e-13	2.10e-15	0.1053	7.9350153	0.8354455	2013.74	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1
105371692	6.35e-13	2.35e-15	0.0882	-7.9211546	-0.6984501	597.64	LOC105371692	uncharacterized LOC105371692
102724159	1.03e-12	3.86e-15	0.0963	7.8595116	0.7564988	854.74	LOC102724159	periodic tryptophan protein 2 homolog
107985335	1.11e-12	4.23e-15	0.3441	7.8478382	2.7004196	35.46	LOC107985335	
55761	1.64e-12	6.35e-15	0.0336	-7.7968234	-0.2618116	2733.87	TTC17	tetratricopeptide repeat domain 17
3141	2.46e-12	9.65e-15	0.0886	7.7437781	0.6862277	535.51	HLCS	holocarboxylase synthetase
78987	2.76e-12	1.10e-14	0.0671	-7.7275648	-0.5185388	708.66	CRELD1	cysteine rich with EGF like domains 1
107986300	3.30e-12	1.33e-14	0.2357	-7.7032003	-1.8159162	31.93	LOC107986300	
51227	4.05e-12	1.65e-14	0.0829	7.6753311	0.6362016	235.36	PIGP	phosphatidylinositol glycan anchor biosynthesis class P
387707	4.28e-12	1.77e-14	0.1226	-7.6666594	-0.9400943	79.84	CC2D2B	coiled-coil and C2 domain containing 2B
79722	4.73e-12	1.97e-14	0.1416	-7.6522489	-1.0832551	243.86	ANKRD55	ankyrin repeat domain 55
6647	5.21e-12	2.20e-14	0.1124	7.6380888	0.8583247	2317.03	SOD1	superoxide dismutase 1
873	8.77e-12	3.75e-14	0.0842	7.5692893	0.6369671	809.05	CBR1	carbonyl reductase 1
4883	9.74e-12	4.22e-14	0.2373	-7.5539536	-1.7923313	14.47	NPR3	natriuretic peptide receptor 3
389161	1.14e-11	5.01e-14	0.2415	-7.5316866	-1.8191213	24.01	ANKUB1	ankyrin repeat and ubiquitin domain containing 1
755	1.23e-11	5.44e-14	0.0777	7.5209053	0.584061	1897.61	CFAP410	cilia and flagella associated protein 410
9710	1.54e-11	6.89e-14	0.0842	-7.4898668	-0.6305564	1003.33	GARRE1	granule associated Rac and RHOG effector 1
110091768	1.94e-11	8.80e-14	0.1296	-7.4577982	-0.9667969	66.33	LOC110091768	uncharacterized LOC110091768
54069	3.13e-11	1.44e-13	0.0884	7.3928834	0.6538186	220.02	MIS18A	MIS18 kinetochore protein A
522	3.14e-11	1.46e-13	0.1667	7.3908369	1.2317977	607.82	ATP5PF	ATP synthase peripheral stalk subunit F6
113791	5.81e-11	2.73e-13	0.0782	-7.3071525	-0.571417	9089.06	PIK3IP1	phosphoinositide-3-kinase interacting protein 1
2350	5.91e-11	2.81e-13	0.162	7.3032204	1.1833358	199.75	FOLR2	folate receptor beta
10446	6.11e-11	2.93e-13	0.1165	-7.2973881	-0.849848	242.3	LRRN2	leucine rich repeat neuronal 2
102723553	6.48e-11	3.15e-13	0.097	7.2880314	0.7069287	231.19	LOC102723553	small integral membrane protein 11B
79937	6.84e-11	3.36e-13	0.2685	-7.2792402	-1.9542755	563.73	CNTNAP3	contactin associated protein family member 3
112755	1.17e-10	5.80e-13	0.1443	-7.2052136	-1.0398991	46.63	STX1B	syntaxin 1B
132158	1.44e-10	7.24e-13	0.0662	7.1748977	0.4750293	907.19	GLYCTK	glycerate kinase
23635	1.45e-10	7.44e-13	0.0549	-7.1710305	-0.3939443	994.35	SSBP2	single stranded DNA binding protein 2
3588	1.45e-10	7.40e-13	0.1034	7.1718499	0.7418566	6732.07	IL10RB	interleukin 10 receptor subunit beta
100289279	1.63e-10	8.44e-13	0.2519	-7.1537884	-1.8019257	102.32	CNTNAP3C	contactin associated protein family member 3C
114757	1.98e-10	1.03e-12	0.1472	-7.1260621	-1.0489464	34.41	CYGB	cytoglobin
81832	2.12e-10	1.12e-12	0.2519	-7.1149407	-1.7923323	58.84	NETO1	neuropilin and tolloid like 1
4047	3.14e-10	1.67e-12	0.0944	7.0595265	0.6665494	1992.39	LSS	lanosterol synthase
105369779	3.89e-10	2.09e-12	0.0668	7.0280678	0.4691425	198.61	CD63-AS1	CD63 antisense RNA 1
100133286	4.25e-10	2.31e-12	0.0874	7.0146091	0.6133017	245.2	CBR1-AS1	CBR1 antisense RNA 1
7730	4.78e-10	2.62e-12	0.1001	-6.9967456	-0.7002882	39.6	ZNF177	zinc finger protein 177
539	5.81e-10	3.22e-12	0.1445	6.967888	1.0069693	2055.17	ATP5PO	ATP synthase peripheral stalk subunit OSCP
9196	6.15e-10	3.44e-12	0.0941	6.9585962	0.6544882	241.51	KCNAB3	potassium voltage-gated channel subfamily A regulatory beta subunit 3
150	7.14e-10	4.03e-12	0.3247	6.9361768	2.2520702	43.06	ADRA2A	adrenoceptor alpha 2A
4117	7.76e-10	4.41e-12	0.1389	-6.9232617	-0.9615449	487.73	MAK	male germ cell associated kinase
105372098	8.01e-10	4.60e-12	0.1387	-6.9174229	-0.9592381	72.46	LOC105372098	uncharacterized LOC105372098
102723854	8.36e-10	4.84e-12	0.1911	-6.9101203	-1.3205192	24.69	LINC01819	long intergenic non-protein coding RNA 1819
1292	8.47e-10	4.95e-12	0.1734	6.9069851	1.1973371	2680.96	COL6A2	collagen type VI alpha 2 chain
10677	1.09e-09	6.45e-12	0.136	-6.86944	-0.9343982	653.46	AVIL	advillin
57124	1.14e-09	6.77e-12	0.224	-6.8624646	-1.5370915	163.93	CD248	CD248 molecule
53347	1.26e-09	7.54e-12	0.0927	6.846986	0.6346444	1865.27	UBASH3A	ubiquitin associated and SH3 domain containing A
114794	1.31e-09	7.92e-12	0.2251	-6.8400247	-1.5399135	22.31	ELFN2	extracellular leucine rich repeat and fibronectin type III domain containing 2
440465	1.37e-09	8.38e-12	0.099	6.831967	0.67626	1310.26	BAIAP2-DT	BAIAP2 divergent transcript
105370652	1.47e-09	9.04e-12	0.192	-6.8210573	-1.3097061	76.23	LINC02295	long intergenic non-protein coding RNA 2295
57538	1.67e-09	1.05e-11	0.1866	-6.8000926	-1.2689027	48.29	ALPK3	alpha kinase 3
54065	1.67e-09	1.04e-11	0.1223	6.8008871	0.8319485	158.43	SMIM11	small integral membrane protein 11
23007	2.40e-09	1.51e-11	0.266	6.7466403	1.7946468	18.83	PLCH1	phospholipase C eta 1
92126	2.41e-09	1.54e-11	0.2167	-6.7443674	-1.4614421	92.58	DSEL	dermatan sulfate epimerase like
387882	3.46e-09	2.22e-11	0.1426	6.6907967	0.9542048	885.95	C12orf75	chromosome 12 open reading frame 75
32	3.55e-09	2.30e-11	0.0901	-6.6856429	-0.6021748	616.85	ACACB	acetyl-CoA carboxylase beta
81543	3.63e-09	2.37e-11	0.1393	6.6810649	0.9303982	122.7	LRRC3	leucine rich repeat containing 3
389114	3.69e-09	2.43e-11	0.1802	-6.6775805	-1.2034377	88.04	ZNF662	zinc finger protein 662
60489	4.14e-09	2.74e-11	0.0909	6.6596515	0.6050377	3575.77	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G
84305	4.57e-09	3.05e-11	0.0569	6.6439571	0.3780236	838.78	PYM1	PYM homolog 1, exon junction complex associated factor
2788	4.71e-09	3.17e-11	0.0922	-6.6383951	-0.6123434	1071.33	GNG7	G protein subunit gamma 7
85301	4.81e-09	3.26e-11	0.223	-6.6341792	-1.4792526	19.63	COL27A1	collagen type XXVII alpha 1 chain
7140	4.84e-09	3.31e-11	0.166	-6.6319608	-1.1011312	125.7	TNNT3	troponin T3, fast skeletal type
55508	4.99e-09	3.44e-11	0.064	-6.6262849	-0.4241325	889.79	SLC35E3	solute carrier family 35 member E3
28690	6.18e-09	4.29e-11	0.1475	-6.593721	-0.972424	138.86	TRAV3	T cell receptor alpha variable 3
100506124	6.37e-09	4.45e-11	0.1099	-6.5881328	-0.7243637	62.07	LOC100506124	uncharacterized LOC100506124
2052	6.39e-09	4.51e-11	0.0701	-6.5864219	-0.4613831	923.91	EPHX1	epoxide hydrolase 1
100506258	9.48e-09	6.73e-11	0.1573	-6.526514	-1.0268307	103.69	SYT9-AS1	SYT9 antisense RNA 1
79713	1.00e-08	7.18e-11	0.0584	6.5169236	0.3807252	2981.62	IGFLR1	IGF like family receptor 1
107985900	1.12e-08	8.06e-11	0.2692	-6.4994362	-1.7498629	10.77	LOC107985900	uncharacterized LOC107985900
22837	1.24e-08	9.03e-11	0.1595	-6.4823654	-1.0342075	221.24	COBLL1	cordon-bleu WH2 repeat protein like 1
107984023	1.38e-08	1.01e-10	0.1505	-6.4660989	-0.9728576	51.75	LOC107984023	
148932	1.46e-08	1.07e-10	0.0569	6.4562101	0.3675635	1745.55	MOB3C	MOB kinase activator 3C
10462	1.47e-08	1.09e-10	0.1607	6.4541361	1.037273	965.09	CLEC10A	C-type lectin domain containing 10A
340393	1.48e-08	1.11e-10	0.1083	6.4515726	0.6984201	82.09	TMEM249	transmembrane protein 249
54148	1.74e-08	1.31e-10	0.1093	6.4262138	0.7025572	400.71	MRPL39	mitochondrial ribosomal protein L39
540	1.85e-08	1.40e-10	0.1582	-6.4155479	-1.0149309	59.89	ATP7B	ATPase copper transporting beta
100288432	1.92e-08	1.47e-10	0.095	6.4089465	0.6087087	319.23	IL10RB-DT	IL10RB divergent transcript
4481	1.93e-08	1.48e-10	0.2101	6.4069519	1.3463599	258.63	MSR1	macrophage scavenger receptor 1
10538	2.31e-08	1.79e-10	0.1309	6.3787668	0.835197	689.75	BATF	basic leucine zipper ATF-like transcription factor
280	2.47e-08	1.92e-10	0.0942	-6.3672753	-0.5998632	968.1	AMY2B	amylase alpha 2B
11046	2.57e-08	2.01e-10	0.0623	6.3602683	0.3962466	645.26	SLC35D2	solute carrier family 35 member D2
51148	2.67e-08	2.10e-10	0.2537	6.3534829	1.6117396	194.45	CERCAM	cerebral endothelial cell adhesion molecule
26262	2.75e-08	2.18e-10	0.0764	6.3480068	0.4848348	1743.69	TSPAN17	tetraspanin 17
2308	3.57e-08	2.85e-10	0.0766	-6.3064907	-0.4830738	1785.72	FOXO1	forkhead box O1
3655	4.03e-08	3.26e-10	0.0982	-6.2857259	-0.6169611	1958.29	ITGA6	integrin subunit alpha 6
6526	4.03e-08	3.26e-10	0.0946	6.2860548	0.594704	1634.04	SLC5A3	solute carrier family 5 member 3
51203	4.34e-08	3.53e-10	0.0999	6.2734718	0.6266609	189.64	NUSAP1	nucleolar and spindle associated protein 1
107984459	4.79e-08	3.93e-10	0.2128	-6.2568112	-1.3313365	29.84	LOC107984459	
102724740	4.80e-08	3.98e-10	0.1886	6.2547617	1.1795307	25.1	LINC02940	long intergenic non-protein coding RNA 2940
1375	4.80e-08	3.96e-10	0.1172	6.2554075	0.7334071	1001.07	CPT1B	carnitine palmitoyltransferase 1B
1525	5.03e-08	4.20e-10	0.1296	6.2462852	0.8093499	87.74	CXADR	CXADR Ig-like cell adhesion molecule
127733	5.34e-08	4.49e-10	0.1875	6.2360543	1.169514	137.23	UBXN10	UBX domain protein 10
4192	5.42e-08	4.58e-10	0.1268	6.2327983	0.7901243	71.43	MDK	midkine
284391	6.29e-08	5.35e-10	0.1092	-6.2084602	-0.6780444	556.68	ZNF844	zinc finger protein 844
153579	6.52e-08	5.58e-10	0.3054	-6.2018484	-1.8937664	63.11	BTNL9	butyrophilin like 9
27287	6.89e-08	5.98e-10	0.1362	6.1910721	0.8429995	724.03	VENTX	VENT homeobox
116159	6.89e-08	5.95e-10	0.1793	6.1917318	1.1099057	47.79	CYYR1	cysteine and tyrosine rich 1
26579	7.29e-08	6.36e-10	0.3064	6.1812974	1.8940614	50.64	MYEOV	myeloma overexpressed
11092	9.95e-08	8.78e-10	0.116	6.1301223	0.710998	105.25	SPACA9	sperm acrosome associated 9
23613	9.95e-08	8.74e-10	0.0451	-6.1309092	-0.2764313	1376.14	ZMYND8	zinc finger MYND-type containing 8
65982	1.18e-07	1.05e-09	0.1032	-6.1020634	-0.6295821	988.32	ZSCAN18	zinc finger and SCAN domain containing 18
51176	1.21e-07	1.08e-09	0.1249	-6.096507	-0.7614162	5145.52	LEF1	lymphoid enhancer binding factor 1
3576	1.23e-07	1.10e-09	0.2472	6.0935394	1.5065191	735.71	CXCL8	C-X-C motif chemokine ligand 8
199675	1.33e-07	1.20e-09	0.2223	6.0803581	1.3513742	1597.79	MCEMP1	mast cell expressed membrane protein 1
54101	1.33e-07	1.21e-09	0.2489	6.0790671	1.5128792	50.15	RIPK4	receptor interacting serine/threonine kinase 4
51738	1.33e-07	1.22e-09	0.1261	6.0777354	0.7664278	470.25	GHRL	ghrelin and obestatin prepropeptide
6782	1.34e-07	1.23e-09	0.0996	6.0761694	0.6049698	1391.68	HSPA13	heat shock protein family A (Hsp70) member 13
107985568	1.39e-07	1.29e-09	0.1446	6.0692087	0.8777486	68.09	LOC107985568	uncharacterized LOC107985568
79729	1.46e-07	1.36e-09	0.1401	6.0605945	0.8491179	265.18	SH3D21	SH3 domain containing 21
9046	1.46e-07	1.36e-09	0.0854	6.0599842	0.517502	7474.39	DOK2	docking protein 2
5645	1.48e-07	1.39e-09	0.3515	6.0563577	2.1287799	14.71	PRSS2	serine protease 2
84264	1.59e-07	1.50e-09	0.1024	6.0445929	0.619039	431.79	HAGHL	hydroxyacylglutathione hydrolase like
51097	1.82e-07	1.73e-09	0.098	6.0217448	0.5901667	480.84	SCCPDH	saccharopine dehydrogenase (putative)
161502	1.85e-07	1.77e-09	0.3027	6.0179973	1.8216202	61.08	CFAP161	cilia and flagella associated protein 161
23076	1.90e-07	1.82e-09	0.0759	6.0127715	0.4565042	2053.44	RRP1B	ribosomal RNA processing 1B
6425	2.07e-07	2.00e-09	0.3206	-5.9980821	-1.9232532	57.06	SFRP5	secreted frizzled related protein 5
112597	2.16e-07	2.10e-09	0.1446	5.9900727	0.8658963	396.83	CYTOR	cytoskeleton regulator RNA
4897	2.19e-07	2.14e-09	0.3266	-5.9869266	-1.9553958	84.7	NRCAM	neuronal cell adhesion molecule
8433	2.30e-07	2.26e-09	0.2075	5.9781061	1.2404777	52.89	UTF1	undifferentiated embryonic cell transcription factor 1
27086	2.37e-07	2.33e-09	0.0687	-5.9726268	-0.4102392	2986	FOXP1	forkhead box P1
79015	2.58e-07	2.56e-09	0.1553	5.9578381	0.9252176	129.75	LINC01260	long intergenic non-protein coding RNA 1260
140578	2.59e-07	2.59e-09	0.1312	5.9558431	0.7815691	36.21	CHODL	chondrolectin
1174	2.88e-07	2.89e-09	0.0766	5.9379507	0.4547449	607.73	AP1S1	adaptor related protein complex 1 subunit sigma 1
389	3.04e-07	3.06e-09	0.1335	5.9283936	0.791516	1770.54	RHOC	ras homolog family member C
26504	3.04e-07	3.08e-09	0.0512	-5.9272517	-0.3033362	480.12	CNNM4	cyclin and CBS domain divalent metal cation transport mediator 4
146880	3.13e-07	3.18e-09	0.0923	5.9218031	0.5463982	2936.78	ARHGAP27P1	Rho GTPase activating protein 27 pseudogene 1
4860	3.45e-07	3.53e-09	0.0984	5.9047134	0.5808614	2644.85	PNP	purine nucleoside phosphorylase
114823	3.81e-07	3.92e-09	0.0558	-5.887743	-0.3284541	19401.02	LENG8	leukocyte receptor cluster member 8
158056	3.88e-07	4.01e-09	0.0995	5.8838567	0.5852145	285.09	MAMDC4	MAM domain containing 4
400946	3.88e-07	4.03e-09	0.1095	-5.8829689	-0.6440702	342.18	LINC00954	long intergenic non-protein coding RNA 954
84525	4.14e-07	4.35e-09	0.1455	5.8704199	0.8539741	1465.6	HOPX	HOP homeobox
157285	4.14e-07	4.33e-09	0.0971	-5.8710946	-0.5702216	987.4	PRAG1	PEAK1 related, kinase-activating pseudokinase 1
100506428	4.20e-07	4.43e-09	0.1142	5.8672098	0.6702661	94.6	CBR3-AS1	CBR3 antisense RNA 1
641518	4.42e-07	4.68e-09	0.1633	-5.8581106	-0.9565445	243.66	LEF1-AS1	LEF1 antisense RNA 1
105371088	4.56e-07	4.86e-09	0.1611	-5.8520645	-0.9428719	55.75	LOC105371088	uncharacterized LOC105371088
8682	4.57e-07	4.91e-09	0.0785	5.8500938	0.4593616	3262.33	PEA15	proliferation and apoptosis adaptor protein 15
10600	4.57e-07	4.90e-09	0.1155	5.8504	0.6757332	1937.67	USP16	ubiquitin specific peptidase 16
8673	4.87e-07	5.27e-09	0.1096	5.8384986	0.6398762	2645.76	VAMP8	vesicle associated membrane protein 8
54558	4.94e-07	5.36e-09	0.1153	-5.8355237	-0.6726275	184.35	SPATA6	spermatogenesis associated 6
5021	5.02e-07	5.47e-09	0.2825	5.8320991	1.647564	40.41	OXTR	oxytocin receptor
285097	5.10e-07	5.59e-09	0.1954	-5.8285799	-1.1387346	45.2	LOC285097	uncharacterized FLJ38379
8313	5.57e-07	6.13e-09	0.1501	-5.8131385	-0.8724576	497.93	AXIN2	axin 2
55509	5.62e-07	6.22e-09	0.1455	5.8106492	0.8452655	139.68	BATF3	basic leucine zipper ATF-like transcription factor 3
257101	5.65e-07	6.30e-09	0.3288	5.8085347	1.9101026	835.04	ZNF683	zinc finger protein 683
199800	5.65e-07	6.31e-09	0.1775	5.8082639	1.0307208	66.2	ADM5	adrenomedullin 5 (putative)
29899	5.83e-07	6.63e-09	0.0539	-5.7999893	-0.3123641	522.95	GPSM2	G protein signaling modulator 2
780	5.83e-07	6.63e-09	0.133	-5.8000238	-0.7713044	292.44	DDR1	discoidin domain receptor tyrosine kinase 1
4846	5.83e-07	6.70e-09	0.1252	-5.7983457	-0.7262284	199.94	NOS3	nitric oxide synthase 3
9252	5.83e-07	6.67e-09	0.0795	-5.7989918	-0.4613008	1698.03	RPS6KA5	ribosomal protein S6 kinase A5
64073	5.83e-07	6.66e-09	0.3098	5.7993056	1.7967251	56.26	C19orf33	chromosome 19 open reading frame 33
23515	5.83e-07	6.60e-09	0.0809	5.8007847	0.4692403	3744.92	MORC3	MORC family CW-type zinc finger 3
9266	6.43e-07	7.42e-09	0.0677	5.7811968	0.3913183	2647.79	CYTH2	cytohesin 2
7368	6.52e-07	7.56e-09	0.2452	-5.7779265	-1.4164773	37.39	UGT8	UDP glycosyltransferase 8
5702	6.53e-07	7.60e-09	0.068	5.7771185	0.3928511	1763.63	PSMC3	proteasome 26S subunit, ATPase 3
11000	6.55e-07	7.70e-09	0.0822	5.7748621	0.4747271	1903.51	SLC27A3	solute carrier family 27 member 3
28693	6.55e-07	7.71e-09	0.242	-5.7747556	-1.3973658	54.77	TRAV1-1	T cell receptor alpha variable 1-1
83473	6.55e-07	7.73e-09	0.1229	-5.7742947	-0.7097418	129.63	KATNAL2	katanin catalytic subunit A1 like 2
60468	6.61e-07	7.84e-09	0.1472	-5.771904	-0.8496053	1286.94	BACH2	BTB domain and CNC homolog 2
102724765	7.06e-07	8.41e-09	0.1923	5.7601088	1.1077882	281.44	LOC102724765	uncharacterized LOC102724765
7172	7.24e-07	8.65e-09	0.0809	5.7552256	0.4655202	738.49	TPMT	thiopurine S-methyltransferase
9725	7.39e-07	8.89e-09	0.0713	-5.7506024	-0.4097507	6735.77	TMEM63A	transmembrane protein 63A
51321	7.39e-07	8.91e-09	0.0458	5.7501963	0.2635104	1972.05	AMZ2	archaelysin family metallopeptidase 2
51429	7.42e-07	8.98e-09	0.0703	-5.7489105	-0.4039439	872.34	SNX9	sorting nexin 9
143425	7.73e-07	9.41e-09	0.2592	-5.7410881	-1.4881982	14.45	SYT9	synaptotagmin 9
